player,team,total_xt_added,positive_actions,avg_xt_per_action
Nicolás Hernán Otamendi,Argentina,0.2691802655806015,93,0.0028944114578559298
Nahuel Molina Lucero,Argentina,0.1821765300412951,38,0.0047941192116130295
Rodrigo Javier De Paul,Argentina,0.7570850383868822,67,0.011299776692341525
Cristian Gabriel Romero,Argentina,0.31787717949098415,64,0.004966830929546627
Marcos Javier Acuña,Argentina,0.2721970802855205,47,0.005791427240117457
Alexis Mac Allister,Argentina,0.15341630221469532,20,0.007670815110734766
Alejandro Darío Gómez,Argentina,0.17116029496743101,23,0.007441751955105697
Damián Emiliano Martínez,Argentina,0.21077262065726649,12,0.017564385054772206
Lisandro Martínez,Argentina,0.08201288061936093,18,0.0045562711455200515
Julián Álvarez,Argentina,0.06255605428035754,8,0.007819506785044693
Ajdin Hrustic,Australia,0.10977475703844133,10,0.010977475703844133
Fran Karačić,Australia,0.3358479580884966,14,0.023989139863464043
Nicolás Alejandro Tagliafico,Argentina,0.05629316747089546,7,0.00804188106727078
Lautaro Javier Martínez,Argentina,0.22446601022436877,11,0.02040600092948807
Gonzalo Ariel Montiel,Argentina,0.042629686172593245,3,0.014209895390864416
Garang Kuol,Australia,0.014846855272387188,1,0.014846855272387188
Nuno Mendes,Paris Saint-Germain,0.5194810511402316,76,0.0068352769886872574
Sergio Ramos García,Paris Saint-Germain,1.2159012482268419,271,0.0044867204731617785
Achraf Hakimi Mouh,Paris Saint-Germain,0.4429912257947495,70,0.006328446082782135
Idrissa Gana Gueye,Paris Saint-Germain,0.2630461762792125,54,0.004871225486652083
Neymar da Silva Santos Junior,Paris Saint-Germain,1.4678638525162107,102,0.014390822083492261
Presnel Kimpembe,Paris Saint-Germain,0.2533008979301125,106,0.0023896311125482313
Kylian Mbappé Lottin,Paris Saint-Germain,1.7605355883735934,118,0.014919793121810113
Yohann Magnin,Clermont Foot,0.23381748003570846,31,0.007542499355990596
Johan Gastien,Clermont Foot,0.6792204100875288,82,0.00828317573277474
